Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C1;.47uF;C_0805_2012Metric;117.95;-115;0;top
C2;C;C_0805_2012Metric;108.95;-106;0;top
C3;.47uF;C_0805_2012Metric;114.05;-106;0;top
C4;.47uF;C_0805_2012Metric;108.050001;-123.449999;0;top
C5;.47uF;C_0805_2012Metric;111.050001;-104;180;top
C6;.1uF;C_0805_2012Metric;107.949999;-126;0;top
C7;.1uF;C_0805_2012Metric;110.949999;-102;180;top
C8;.1uF;C_0805_2012Metric;114;-108;0;top
J3;Conn_01x08;PinHeader_1x08_P1.27mm_Vertical_SMD_Pin1Left;106.045;-54.38;-90;top
R1;100k;R_0805_2012Metric;99;-103.0875;90;top
R2;20k;R_0805_2012Metric;117.9125;-111;0;top
R3;100k;R_0805_2012Metric;110.9125;-98;180;top
R4;100k;R_0805_2012Metric;102;-103.0875;90;top
U1;IS31FL3733-TQ;TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm;105.625;-114.625;0;top
